   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:877(exec_module)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
    85950    0.028    0.000    0.053    0.000 <string>:1(<lambda>)
      600    0.013    0.000   13.529    0.023 Image.py:2457(save)
      600    0.000    0.000    0.000    0.000 Image.py:2586(_attach_default_encoderinfo)
     1200    0.001    0.000    0.002    0.000 Image.py:3034(_check_size)
      600    0.003    0.000    0.010    0.000 Image.py:3053(new)
      600    0.003    0.000    0.046    0.000 Image.py:3148(frombuffer)
      600    0.000    0.000    0.000    0.000 Image.py:327(preinit)
      600    0.002    0.000    0.004    0.000 Image.py:428(_getencoder)
     1800    0.002    0.000    0.003    0.000 Image.py:532(__init__)
     1800    0.001    0.000    0.001    0.000 Image.py:542(im)
     1200    0.000    0.000    0.000    0.000 Image.py:549(im)
     1800    0.000    0.000    0.000    0.000 Image.py:561(size)
     2400    0.000    0.000    0.000    0.000 Image.py:565(mode)
     1200    0.001    0.000    0.001    0.000 Image.py:569(readonly)
     2400    0.001    0.000    0.001    0.000 Image.py:573(readonly)
     1200    0.003    0.000    0.004    0.000 Image.py:577(_new)
     1200    0.002    0.000    0.005    0.000 Image.py:873(load)
      600    0.007    0.000   13.136    0.022 ImageFile.py:629(_save)
      600    0.013    0.000   13.125    0.022 ImageFile.py:657(_encode_tile)
      600    0.000    0.000    0.000    0.000 ImageFile.py:97(_tilesort)
     3822    0.014    0.000    1.534    0.000 PngImagePlugin.py:1120(putchunk)
      600    0.000    0.000    0.000    0.000 PngImagePlugin.py:1134(__init__)
     1422    0.002    0.000    1.524    0.001 PngImagePlugin.py:1138(write)
      600    0.019    0.000   13.180    0.022 PngImagePlugin.py:1307(_save)
     7644    0.005    0.000    0.031    0.000 PngImagePlugin.py:153(_crc32)
      600    0.000    0.000    0.000    0.000 PngImagePlugin.py:288(__init__)
      600    0.000    0.000    0.000    0.000 PngImagePlugin.py:291(add)
      600    0.002    0.000    0.003    0.000 PngImagePlugin.py:338(add_text)
   494790  164.787    0.000 17246.059    0.035 TD3.py:102(update)
   494790    0.405    0.000    0.405    0.000 TD3.py:178(_freeze_gru)
    11543    2.551    0.000   35.002    0.003 TD3.py:190(check_grad)
    65748    0.073    0.000    0.575    0.000 TD3.py:271(<lambda>)
  1000000   50.671    0.000 2004.682    0.002 TD3.py:471(select_action)
   494790  589.053    0.001  836.805    0.002 TD3.py:89(_soft_update)
 20008630   10.650    0.000   16.016    0.000 _VF.py:27(__getattr__)
        1    0.000    0.000    0.002    0.002 __init__.py:1(<module>)
   976855    0.428    0.000    0.547    0.000 __init__.py:100(check_in_list)
    57547    0.096    0.000    7.868    0.000 __init__.py:1077(flush)
    57547    0.113    0.000    9.391    0.000 __init__.py:1088(emit)
      600    0.001    0.000    0.002    0.000 __init__.py:110(get_projection_class)
  1016500    0.083    0.000    0.083    0.000 __init__.py:1139(is_storage)
    57547    0.033    0.000    0.045    0.000 __init__.py:119(getLevelName)
    57547    0.056    0.000    9.447    0.000 __init__.py:1204(emit)
  2309020    0.406    0.000    0.406    0.000 __init__.py:129(annotate)
        1    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
      600    0.002    0.000    0.004    0.000 __init__.py:1315(getLogger)
    39375    0.081    0.000    0.157    0.000 __init__.py:133(check_shape)
      600    0.000    0.000    0.001    0.000 __init__.py:1342(is_interactive)
   105275    0.025    0.000    0.072    0.000 __init__.py:1354(_val_or_rc)
      100    0.000    0.000    0.000    0.000 __init__.py:146(_DType_reduce)
    35205    0.080    0.000    7.121    0.000 __init__.py:1467(info)
    22342    0.043    0.000    5.225    0.000 __init__.py:1479(warning)
   118125    0.033    0.000    0.033    0.000 __init__.py:153(<genexpr>)
  1154510    0.772    0.000    1.265    0.000 __init__.py:154(_is_compiled)
    57547    0.234    0.000    0.705    0.000 __init__.py:1549(findCaller)
    57547    0.079    0.000    1.560    0.000 __init__.py:1585(makeRecord)
  1154510    2.114    0.000   12.538    0.000 __init__.py:159(_nvml_based_avail)
    57547    0.039    0.000    0.057    0.000 __init__.py:160(<lambda>)
    57547    0.121    0.000   12.195    0.000 __init__.py:1600(_log)
    57547    0.058    0.000    9.809    0.000 __init__.py:1626(handle)
  1154510    2.101    0.000   16.658    0.000 __init__.py:163(is_available)
     5200    0.006    0.000    0.007    0.000 __init__.py:168(check_getitem)
    57547    0.085    0.000    9.721    0.000 __init__.py:1680(callHandlers)
  1154511    1.668    0.000    1.668    0.000 __init__.py:1710(getEffectiveLevel)
    57547    0.029    0.000    0.029    0.000 __init__.py:1724(isEnabledFor)
     3000    0.002    0.000    0.002    0.000 __init__.py:185(keys)
      600    0.002    0.000    0.006    0.000 __init__.py:2071(getLogger)
    22342    0.044    0.000    5.273    0.000 __init__.py:2115(warning)
    35205    0.080    0.000    7.207    0.000 __init__.py:2130(info)
      601    0.001    0.000    0.001    0.000 __init__.py:219(_acquireLock)
      601    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
  1154510    0.834    0.000    0.834    0.000 __init__.py:233(_tensor_or_tensors_to_tuple)
  1154510   11.778    0.000 6271.133    0.005 __init__.py:243(backward)
    46200    0.012    0.000    0.012    0.000 __init__.py:259(__iter__)
     6400    0.025    0.000    0.031    0.000 __init__.py:279(select_matching_signature)
    57547    0.508    0.000    1.482    0.000 __init__.py:283(__init__)
     1200    0.002    0.000    0.002    0.000 __init__.py:334(__len__)
     1200    0.000    0.000    0.000    0.000 __init__.py:336(wrapper)
    57547    0.026    0.000    0.026    0.000 __init__.py:359(getMessage)
  1154510    0.685    0.000    0.685    0.000 __init__.py:39(is_built)
     3000    0.020    0.000    0.035    0.000 __init__.py:416(by_key)
    57547    0.042    0.000    0.068    0.000 __init__.py:423(usesTime)
    57547    0.122    0.000    0.122    0.000 __init__.py:431(_format)
 39748130   12.501    0.000   15.862    0.000 __init__.py:436(is_compiling)
     3000    0.001    0.000    0.001    0.000 __init__.py:438(<dictcomp>)
    57547    0.027    0.000    0.149    0.000 __init__.py:438(format)
        1    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
     1200    0.001    0.000    0.001    0.000 __init__.py:54(__get__)
    57547    0.157    0.000    0.680    0.000 __init__.py:597(formatTime)
    57547    0.032    0.000    0.100    0.000 __init__.py:643(usesTime)
    57547    0.031    0.000    0.180    0.000 __init__.py:649(formatMessage)
   138600    0.210    0.000    0.333    0.000 __init__.py:65(check_isinstance)
    57547    0.136    0.000    1.123    0.000 __init__.py:665(format)
  1991365    0.753    0.000    1.011    0.000 __init__.py:701(_get)
  1991365    0.653    0.000    1.664    0.000 __init__.py:781(__getitem__)
   156300    0.027    0.000    0.027    0.000 __init__.py:79(<genexpr>)
   115094    0.047    0.000    0.047    0.000 __init__.py:806(filter)
      600    0.000    0.000    0.000    0.000 __init__.py:81(get_projection_class)
  1154510   17.287    0.000   63.250    0.000 __init__.py:89(_make_grads)
   115094    0.062    0.000    0.099    0.000 __init__.py:912(acquire)
   115094    0.052    0.000    0.069    0.000 __init__.py:919(release)
    57547    0.039    0.000    1.162    0.000 __init__.py:932(format)
    57547    0.087    0.000    9.637    0.000 __init__.py:955(handle)
      600    0.001    0.000    0.001    0.000 _asarray.py:109(<setcomp>)
      600    0.003    0.000    0.004    0.000 _asarray.py:27(require)
      600    0.005    0.000    0.089    0.000 _axes.py:118(set_title)
      800    0.005    0.000    0.363    0.000 _axes.py:1532(plot)
      600    0.004    0.000    0.851    0.001 _axes.py:218(legend)
     5400    0.013    0.000    0.087    0.000 _base.py:1019(get_xaxis_text2_transform)
52725/28625    0.039    0.000    0.137    0.000 _base.py:1046(get_yaxis_transform)
     5725    0.017    0.000    0.113    0.000 _base.py:1074(get_yaxis_text1_transform)
     5725    0.013    0.000    0.092    0.000 _base.py:1101(get_yaxis_text2_transform)
      600    0.001    0.000    0.036    0.000 _base.py:1128(_update_transScale)
     2400    0.003    0.000    0.037    0.000 _base.py:1133(get_position)
     3000    0.012    0.000    0.100    0.000 _base.py:1185(_set_position)
     2400    0.001    0.000    0.001    0.000 _base.py:1224(get_axes_locator)
     2600    0.006    0.000    0.018    0.000 _base.py:1230(_set_artist_props)
      600    0.001    0.000    0.046    0.000 _base.py:1240(_gen_axes_patch)
      600    0.001    0.000    0.257    0.000 _base.py:1257(_gen_axes_spines)
      600    0.002    0.000    0.256    0.000 _base.py:1272(<dictcomp>)
      600    0.028    0.000    3.679    0.006 _base.py:1313(__clear)
      600    0.001    0.000    3.680    0.006 _base.py:1445(clear)
     1200    0.008    0.000    0.070    0.000 _base.py:1579(_set_title_offset_trans)
     2400    0.001    0.000    0.001    0.000 _base.py:1667(get_aspect)
      600    0.002    0.000    0.004    0.000 _base.py:1826(set_box_aspect)
     2400    0.007    0.000    0.123    0.000 _base.py:1936(apply_aspect)
     1200    0.002    0.000    0.012    0.000 _base.py:216(__init__)
     1200    0.003    0.000    0.010    0.000 _base.py:221(set_prop_cycle)
     1600    0.005    0.000    0.165    0.000 _base.py:227(__call__)
      800    0.001    0.000    0.004    0.000 _base.py:238(<listcomp>)
      800    0.004    0.000    0.183    0.000 _base.py:2408(add_line)
      800    0.004    0.000    0.099    0.000 _base.py:2436(_update_line_limits)
     1200    0.001    0.000    0.001    0.000 _base.py:2560(_unit_change_handler)
     3200    0.013    0.000    0.080    0.000 _base.py:2624(_process_unit_info)
     3200    0.001    0.000    0.001    0.000 _base.py:2681(<listcomp>)
      600    0.000    0.000    0.000    0.000 _base.py:2713(use_sticky_edges)
      600    0.015    0.000    0.285    0.000 _base.py:2962(autoscale_view)
      600    0.003    0.000    0.014    0.000 _base.py:3007(<listcomp>)
      600    0.002    0.000    0.009    0.000 _base.py:3012(<listcomp>)
     1200    0.016    0.000    0.236    0.000 _base.py:3021(handle_single_axis)
     1200    0.006    0.000    0.009    0.000 _base.py:3030(<listcomp>)
     2400    0.001    0.000    0.002    0.000 _base.py:3045(<genexpr>)
     1200    0.036    0.000   13.120    0.011 _base.py:3090(_update_title_position)
     2400    0.002    0.000    0.002    0.000 _base.py:3101(<genexpr>)
      800    0.003    0.000    0.005    0.000 _base.py:311(_getdefaults)
     4800    0.002    0.000    0.002    0.000 _base.py:3154(<genexpr>)
     1200    0.022    0.000   51.871    0.043 _base.py:3161(draw)
     1600    0.001    0.000    0.001    0.000 _base.py:319(<genexpr>)
      600    0.003    0.000    0.004    0.000 _base.py:3197(<listcomp>)
      800    0.000    0.000    0.000    0.000 _base.py:322(<dictcomp>)
      800    0.001    0.000    0.001    0.000 _base.py:326(_setdefaults)
      600    0.003    0.000    0.012    0.000 _base.py:3279(set_axisbelow)
     1800    0.006    0.000    1.387    0.001 _base.py:3318(grid)
      800    0.003    0.000    0.101    0.000 _base.py:335(_make_line)
     1200    0.006    0.000    0.199    0.000 _base.py:3480(tick_params)
      600    0.000    0.000    0.000    0.000 _base.py:3574(set_axis_on)
      600    0.003    0.000    0.028    0.000 _base.py:3596(set_xlabel)
     2200    0.002    0.000    0.039    0.000 _base.py:3661(get_xbound)
      600    0.002    0.000    0.093    0.000 _base.py:3677(set_xbound)
     2200    0.007    0.000    0.037    0.000 _base.py:3711(get_xlim)
     4800    0.011    0.000    0.031    0.000 _base.py:3733(_validate_converted_limits)
      600    0.001    0.000    0.075    0.000 _base.py:3752(set_xlim)
      600    0.002    0.000    0.021    0.000 _base.py:3849(set_ylabel)
      600    0.000    0.000    0.007    0.000 _base.py:3914(get_ybound)
      600    0.002    0.000    0.075    0.000 _base.py:3930(set_ybound)
      800    0.010    0.000    0.152    0.000 _base.py:396(_plot_args)
      600    0.001    0.000    0.006    0.000 _base.py:3964(get_ylim)
      600    0.001    0.000    0.059    0.000 _base.py:3986(set_ylim)
      600    0.000    0.000    0.000    0.000 _base.py:4151(set_navigate)
      600    0.000    0.000    0.000    0.000 _base.py:4172(set_navigate_mode)
     3600    0.019    0.000    0.065    0.000 _base.py:4453(get_children)
     2400    0.001    0.000    0.001    0.000 _base.py:454(<genexpr>)
     1600    0.002    0.000    0.102    0.000 _base.py:539(<genexpr>)
      800    0.001    0.000    0.103    0.000 _base.py:546(<listcomp>)
    23600    0.015    0.000    0.050    0.000 _base.py:605(_axis_map)
    23600    0.018    0.000    0.034    0.000 _base.py:608(<dictcomp>)
      600    0.022    0.000    5.196    0.009 _base.py:615(__init__)
     4400    0.005    0.000    0.020    0.000 _base.py:73(wrapper)
      600    0.002    0.000    0.092    0.000 _base.py:839(set_subplotspec)
     1200    0.000    0.000    0.000    0.000 _base.py:848(get_window_extent)
      600    0.007    0.000    0.792    0.001 _base.py:864(_init_axis)
      600    0.005    0.000    0.062    0.000 _base.py:873(set_figure)
80800/77200    0.099    0.000    1.006    0.000 _base.py:887(_unstale_viewLim)
    80800    0.162    0.000    0.620    0.000 _base.py:890(<dictcomp>)
   323200    0.058    0.000    0.058    0.000 _base.py:891(<genexpr>)
      600    0.001    0.000    0.001    0.000 _base.py:898(<dictcomp>)
    79600    0.048    0.000    0.773    0.000 _base.py:901(viewLim)
     1600    0.003    0.000    0.005    0.000 _base.py:907(_request_autoscale_view)
     1600    0.001    0.000    0.001    0.000 _base.py:921(<dictcomp>)
      600    0.006    0.000    0.035    0.000 _base.py:928(_set_lim_and_transforms)
49800/27000    0.039    0.000    0.135    0.000 _base.py:964(get_xaxis_transform)
     5400    0.017    0.000    0.107    0.000 _base.py:992(get_xaxis_text1_transform)
    10044    0.004    0.000    0.009    0.000 _binary.py:111(o32be)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       44    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       13    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
  1159310    2.517    0.000    9.063    0.000 _collections_abc.py:821(get)
     3000    0.005    0.000    0.013    0.000 _collections_abc.py:828(__contains__)
     4200    0.004    0.000    0.006    0.000 _collections_abc.py:844(values)
     4200    0.002    0.000    0.002    0.000 _collections_abc.py:862(__init__)
     3600    0.002    0.000    0.007    0.000 _collections_abc.py:865(__len__)
    21000    0.011    0.000    0.028    0.000 _collections_abc.py:928(__iter__)
  1154510    2.521    0.000  147.231    0.000 _compile.py:41(inner)
       16    0.000    0.000    0.000    0.000 _config_module.py:113(string_or_list_of_string_to_list)
        1    0.000    0.000    0.001    0.001 _config_module.py:164(install_config_module)
        1    0.000    0.000    0.000    0.000 _config_module.py:171(ConfigModuleInstance)
      3/1    0.000    0.000    0.000    0.000 _config_module.py:175(visit)
        1    0.000    0.000    0.001    0.001 _config_module.py:239(get_assignments_with_compile_ignored_comments)
        8    0.000    0.000    0.000    0.000 _config_module.py:305(__init__)
        2    0.000    0.000    0.000    0.000 _config_module.py:358(__setattr__)
     7700    0.009    0.000    0.015    0.000 _config_module.py:370(__getattr__)
     7700    0.002    0.000    0.002    0.000 _config_module.py:413(_get_alias_module_and_name)
     7700    0.003    0.000    0.005    0.000 _config_module.py:426(_get_alias_val)
        2    0.000    0.000    0.000    0.000 _config_module.py:774(__init__)
     7700    0.005    0.000    0.020    0.000 _config_module.py:782(__getattr__)
        8    0.000    0.000    0.000    0.000 _config_module.py:87(__init__)
  3463530    7.733    0.000   88.502    0.000 _contextlib.py:117(decorate_context)
  3463530    3.619    0.000   11.186    0.000 _contextlib.py:150(clone)
  8421850   10.846    0.000   13.657    0.000 _contextlib.py:158(__new__)
  1154510    0.986    0.000    1.858    0.000 _foreach_utils.py:14(_get_fused_kernels_supported_devices)
  3463530    2.546    0.000   55.201    0.000 _foreach_utils.py:43(_group_tensors_by_device_and_dtype)
  2309020   16.578    0.000   21.496    0.000 _foreach_utils.py:51(_device_has_foreach_support)
  2309020    3.423    0.000   36.316    0.000 _foreach_utils.py:58(_has_foreach_support)
 33975580    6.168    0.000    6.168    0.000 _foreach_utils.py:59(<genexpr>)
  3463530    3.080    0.000    5.623    0.000 _foreach_utils.py:9(_get_foreach_kernels_supported_devices)
     1200    0.000    0.000    0.000    0.000 _function_base_impl.py:1365(_diff_dispatcher)
     1200    0.011    0.000    0.012    0.000 _function_base_impl.py:1369(diff)
   535325    0.133    0.000    0.188    0.000 _function_base_impl.py:339(iterable)
  5012505    0.795    0.000    0.795    0.000 _function_base_impl.py:5640(_append_dispatcher)
  5012505  206.071    0.000  216.960    0.000 _function_base_impl.py:5644(append)
127111320   12.571    0.000   12.571    0.000 _jit_internal.py:106(is_scripting)
      600    0.001    0.000    0.001    0.000 _linalg.py:123(_makearray)
     1200    0.000    0.000    0.000    0.000 _linalg.py:128(isComplexType)
      600    0.000    0.000    0.000    0.000 _linalg.py:142(_realType)
      600    0.002    0.000    0.003    0.000 _linalg.py:148(_commonType)
      600    0.000    0.000    0.000    0.000 _linalg.py:192(_assert_stacked_2d)
      600    0.000    0.000    0.000    0.000 _linalg.py:198(_assert_stacked_square)
      600    0.000    0.000    0.000    0.000 _linalg.py:492(_unary_dispatcher)
      600    0.013    0.000    0.024    0.000 _linalg.py:496(inv)
    67609    0.299    0.000    1.095    0.000 _methods.py:118(_mean)
    10800    0.022    0.000    0.047    0.000 _methods.py:235(_ptp)
   220208    0.056    0.000    0.328    0.000 _methods.py:42(_amax)
   168500    0.050    0.000    0.393    0.000 _methods.py:46(_amin)
    22100    0.010    0.000    0.080    0.000 _methods.py:50(_sum)
    12200    0.007    0.000    0.037    0.000 _methods.py:58(_any)
    46800    0.022    0.000    0.145    0.000 _methods.py:67(_all)
    67609    0.240    0.000    0.266    0.000 _methods.py:76(_count_reduce_items)
  2022600   13.835    0.000   13.925    0.000 _methods.py:99(_clip)
        1    0.000    0.000    0.000    0.000 _monitor.py:94(report)
     9200    0.003    0.000    0.004    0.000 _namedtensor_internals.py:12(check_serializing_named_tensor)
  2309020    3.371    0.000   91.868    0.000 _ops.py:1068(__call__)
  2309020    3.672    0.000   69.545    0.000 _ops.py:1128(_must_dispatch_in_python)
  2309020    2.979    0.000    3.606    0.000 _ops.py:1130(<lambda>)
  2309020    2.754    0.000   54.142    0.000 _ops.py:1244(__call__)
      600    0.002    0.000    0.009    0.000 _pylab_helpers.py:104(_set_new_active_manager)
      600    0.001    0.000    0.001    0.000 _pylab_helpers.py:117(set_active)
      600    0.000    0.000    0.000    0.000 _pylab_helpers.py:33(get_fig_manager)
      600    0.003    0.000    0.023    0.000 _pylab_helpers.py:44(destroy)
     1800    0.001    0.000    0.002    0.000 _pylab_helpers.py:55(<genexpr>)
     5000    0.008    0.000    0.010    0.000 _pylab_helpers.py:99(get_active)
 16163140    6.306    0.000   26.740    0.000 _pytree.py:1008(_get_node_type)
  9236080    4.997    0.000   22.362    0.000 _pytree.py:1020(tree_is_leaf)
16163140/4618040   17.010    0.000   55.569    0.000 _pytree.py:1302(tree_iter)
  2309020    3.346    0.000   65.872    0.000 _pytree.py:1630(tree_any)
 16163140   10.379    0.000   20.434    0.000 _pytree.py:675(is_namedtuple_class)
  4618040    1.742    0.000    1.742    0.000 _pytree.py:751(_tuple_flatten)
  2309020    4.140    0.000    5.081    0.000 _pytree.py:779(_dict_flatten)
   989580    0.501    0.000    0.501    0.000 _reduction.py:8(get_enum)
      600    0.000    0.000    0.000    0.000 _shape_base_impl.py:1200(_tile_dispatcher)
      600    0.002    0.000    0.004    0.000 _shape_base_impl.py:1204(tile)
     1200    0.000    0.000    0.000    0.000 _shape_base_impl.py:1277(<genexpr>)
    28975    0.016    0.000    0.036    0.000 _shape_base_impl.py:617(_column_stack_dispatcher)
    28975    0.167    0.000    0.212    0.000 _shape_base_impl.py:621(column_stack)
      600    0.000    0.000    0.000    0.000 _shape_base_impl.py:738(_array_split_dispatcher)
      600    0.006    0.000    0.017    0.000 _shape_base_impl.py:742(array_split)
    27775    0.081    0.000    0.084    0.000 _stride_tricks_impl.py:413(_broadcast_shape)
    27775    0.004    0.000    0.004    0.000 _stride_tricks_impl.py:477(_broadcast_arrays_dispatcher)
    27775    0.054    0.000    0.195    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
    27775    0.023    0.000    0.038    0.000 _stride_tricks_impl.py:542(<listcomp>)
    27775    0.018    0.000    0.018    0.000 _stride_tricks_impl.py:546(<listcomp>)
   494790    0.918    0.000   16.887    0.000 _tensor.py:1073(__rsub__)
  1154510   36.330    0.000   64.867    0.000 _tensor.py:1077(__rdiv__)
 82827820   16.913    0.000   26.415    0.000 _tensor.py:1183(__hash__)
     9200    0.013    0.000    0.186    0.000 _tensor.py:270(__reduce_ex__)
     9200    0.013    0.000    0.034    0.000 _tensor.py:313(_typed_storage)
     9200    0.076    0.000    0.159    0.000 _tensor.py:319(_reduce_ex_internal)
  1649300    5.167    0.000   87.701    0.000 _tensor.py:38(wrapped)
  1154510    9.815    0.000 6281.181    0.005 _tensor.py:570(backward)
   158304    0.189    0.000    6.226    0.000 _tensor.py:859(norm)
    11400    0.010    0.000    0.010    0.000 _ufunc_config.py:430(__init__)
    11400    0.017    0.000    0.039    0.000 _ufunc_config.py:440(__enter__)
    11400    0.008    0.000    0.019    0.000 _ufunc_config.py:456(__exit__)
      600    0.001    0.000    0.001    0.000 _util.py:12(is_path)
     9200    0.004    0.000    0.012    0.000 _utils.py:191(get_tensor_metadata)
    18400    0.012    0.000    0.025    0.000 _utils.py:500(_get_obj_state)
     9200    0.007    0.000    0.008    0.000 _utils.py:891(_element_size)
  2309020    0.369    0.000    0.369    0.000 _utils_internal.py:179(justknobs_check)
        2    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
